product_name,categories_tags,ingredients_text,fat_100g,sugars_100g,proteins_100g
granola Bio le Chocolaté,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:dried-products,en:fruits-based-foods,en:dried-plant-based-foods,en:dried-fruits",HONIG stillende Frauen nicht geeignet. D bestrahlung vermeiden und be trocken lagern. X000V0XH07,1.0,1.0,1.0
xytitol pastilles,"en:sandwiches,en:wraps,it:gestione-sovrappeso,it:obesita",,0.5,0.24,18.0
Powdered peanut butter,"en:snacks,en:meals,en:rice-dishes,en:risottos,en:powder-peanut-butter","Water, Leptospermum Scoparium Mel (Manuka Honey), Sodium C14-C16 Olefin Sulfonate, Cocamide DIPA ,  Cocamidopropyl Betaine (Coconut Oil), Cocamidopropyl Betaine (Coconut Oil), Glycereth-2 Cocoate, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Malus Domestica Fruit Cell Culture Extract, Phenoxyethanol (and) Ethylhexylglycerin",13.0,3.6,11.0
Madeleines ChocoLait,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:chocolate-cakes,en:madeleines,en:chocolate-madeleines","Farine de blé 27%, chocolat au lait 18% (sucre, beurre de cacao, lait entier en poudre, pâte de cacao, émulsifiant : lécithines (soja), arôme naturel de vanille), sucre, huile de colza, œufs de poules élevées en plein air 14.5%, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d'ammonium - carbonates de sodium - citrates de sodium (blé), sel, gluten de blé, lait écrémé en poudre, fibres végétales, arôme naturel. Peut contenir des traces de fruits à coque.",24.0,31.0,6.4
Collagen For Her,,"whey protein concentrate, milk protein concentrate, flavoring, thickener (xanthan gum), sweetener (sucralose)",1.76,0.0,1.76
Nesquik moins de sucre,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:pound-cake,en:chocolate-cakes,en:madeleines,en:chocolate-madeleines","Nuts (Peanuts, Almonds), Prebiotic Blend (Tapioca Fiber, Vegetable Fiber), Protein Blend (Pea Protein Crisps [Pea Protein, Tapioca Starch], Pea Protein), Natural Flavors, Peanut Flour, Coconut Oil, Unsweetened Chocolate, Cocoa, Cocoa Butter, Sea Salt, Lion's Mane, Stevia Plant Extract, Vitamin E",5.71,8.57,57.1
Farandole de madeleine,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:chocolate-cakes,en:madeleines,en:chocolate-madeleines,en:long-madeleines","Madeleines ChocoNoir - Madeleines nappées de chocolat noir : farine de blé 27%, chocolat noir 18% (pâte de cacao, sucre, beurre de cacao, matière grasse laitière anhydre, émulsifiant : lécithines (soja), arôme naturel de vanille), sucre, huile de colza, œufs de poules élevées en plein air 14.5%, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d'ammonium - carbonates de sodium - citrates de sodium (blé), sel, gluten de blé, lait écrémé en poudre, fibres végétales, arôme naturel. Peut contenir des traces de fruits à coque. Toutes vos remarques et suggestions sont les bienvenues : contactez notre Service Qualité en indiquant le nom et le numéro du lot du produit concerné figurant sur le dessus de la boîte. Pour conserver toutes les qualités de ce produit, le maintenir dans un milieu tempéré à l'abri de la chaleur, de l'humidité et du froid.",16.7,1.85,37.0
The Smartest Cookie,,"beef, seasoning (sugar, garlic, onion, salt, spices), soy sauce (water, wheat, soybeans, salt), water, liquid smoke, sodium nitrite",5.36,25.0,35.7
Hershey’s Syrup,"en:beverages-and-beverages-preparations,en:beverages,en:supplement",Organic Defatted Hemp Seed Powder. Certified Organic by Quality Assurance International (QA).,2.0,6.0,9.0
Anthony's Organic Cocoa Butter Chunks,"en:sandwiches,en:wraps",Allulose,100.0,0.0,0.0
Lindt Vollmilch Schokolade,"en:dried-products,en:dried-products-to-be-rehydrated,en:broths,en:dehydrated-broths,en:bouillon-cubes","salt, potato starch, palm oil, yeast extract, sugar, chicken fat, flavouring, chicken powder, onion powder, turmeric powder, celery seed, parsley, rice flour, black pepper, lemon juice powder",0.3,0.2,0.3
